hour (h);irradiance (W/m^2)
7;0
8;5.555555556
9;50
10;41.66666667
11;52.77777778
12;77.77777778
13;83.33333333
14;63.88888889
15;27.77777778
16;13.88888889
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;11.11111111
10;19.44444444
11;30.55555556
12;22.22222222
13;25
14;36.11111111
15;61.11111111
16;52.77777778
17;2.777777778
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;19.44444444
10;97.22222222
11;261.1111111
12;288.8888889
13;305.5555556
14;205.5555556
15;105.5555556
16;22.22222222
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;5.555555556
9;41.66666667
10;61.11111111
11;72.22222222
12;44.44444444
13;33.33333333
14;47.22222222
15;25
16;5.555555556
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;8.333333333
10;47.22222222
11;155.5555556
12;188.8888889
13;183.3333333
14;50
15;155.5555556
16;55.55555556
17;5.555555556
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;2.777777778
9;16.66666667
10;13.88888889
11;27.77777778
12;61.11111111
13;241.6666667
14;158.3333333
15;158.3333333
16;47.22222222
17;2.777777778
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;2.777777778
9;16.66666667
10;38.88888889
11;52.77777778
12;52.77777778
13;61.11111111
14;61.11111111
15;25
16;5.555555556
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;2.777777778
9;36.11111111
10;183.3333333
11;300
12;272.2222222
13;288.8888889
14;266.6666667
15;105.5555556
16;86.11111111
17;5.555555556
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;5.555555556
9;97.22222222
10;183.3333333
11;166.6666667
12;147.2222222
13;72.22222222
14;38.88888889
15;16.66666667
16;2.777777778
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;5.555555556
9;47.22222222
10;38.88888889
11;169.4444444
12;350
13;336.1111111
14;288.8888889
15;200
16;86.11111111
17;5.555555556
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;27.77777778
9;72.22222222
10;94.44444444
11;300
12;200
13;200
14;230.5555556
15;136.1111111
16;55.55555556
17;2.777777778
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;5.555555556
9;80.55555556
10;233.3333333
11;327.7777778
12;366.6666667
13;352.7777778
14;272.2222222
15;152.7777778
16;63.88888889
17;8.333333333
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;44.44444444
9;113.8888889
10;169.4444444
11;233.3333333
12;352.7777778
13;197.2222222
14;233.3333333
15;147.2222222
16;61.11111111
17;5.555555556
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;19.44444444
9;86.11111111
10;244.4444444
11;283.3333333
12;366.6666667
13;180.5555556
14;97.22222222
15;213.8888889
16;36.11111111
17;5.555555556
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;2.777777778
9;22.22222222
10;63.88888889
11;75
12;105.5555556
13;116.6666667
14;61.11111111
15;13.88888889
16;16.66666667
17;2.777777778
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;11.11111111
9;41.66666667
10;236.1111111
11;388.8888889
12;402.7777778
13;397.2222222
14;261.1111111
15;183.3333333
16;97.22222222
17;19.44444444
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;22.22222222
9;91.66666667
10;180.5555556
11;188.8888889
12;183.3333333
13;163.8888889
14;180.5555556
15;86.11111111
16;47.22222222
17;11.11111111
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;13.88888889
9;50
10;86.11111111
11;91.66666667
12;108.3333333
13;116.6666667
14;88.88888889
15;86.11111111
16;100
17;5.555555556
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;19.44444444
9;63.88888889
10;111.1111111
11;136.1111111
12;200
13;322.2222222
14;347.2222222
15;191.6666667
16;94.44444444
17;13.88888889
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;13.88888889
9;36.11111111
10;55.55555556
11;63.88888889
12;63.88888889
13;83.33333333
14;77.77777778
15;52.77777778
16;27.77777778
17;11.11111111
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;16.66666667
9;94.44444444
10;158.3333333
11;216.6666667
12;369.4444444
13;216.6666667
14;222.2222222
15;105.5555556
16;44.44444444
17;8.333333333
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;25
9;66.66666667
10;119.4444444
11;161.1111111
12;130.5555556
13;113.8888889
14;127.7777778
15;77.77777778
16;38.88888889
17;8.333333333
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;27.77777778
9;94.44444444
10;166.6666667
11;225
12;302.7777778
13;366.6666667
14;352.7777778
15;91.66666667
16;27.77777778
17;16.66666667
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;44.44444444
9;172.2222222
10;302.7777778
11;375
12;416.6666667
13;380.5555556
14;222.2222222
15;108.3333333
16;52.77777778
17;16.66666667
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;25
9;55.55555556
10;102.7777778
11;141.6666667
12;138.8888889
13;147.2222222
14;83.33333333
15;58.33333333
16;13.88888889
17;2.777777778
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;2.777777778
8;75
9;205.5555556
10;291.6666667
11;197.2222222
12;461.1111111
13;363.8888889
14;116.6666667
15;80.55555556
16;75
17;16.66666667
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;2.777777778
8;41.66666667
9;119.4444444
10;188.8888889
11;275
12;188.8888889
13;141.6666667
14;133.3333333
15;100
16;75
17;22.22222222
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;2.777777778
8;77.77777778
9;219.4444444
10;308.3333333
11;308.3333333
12;172.2222222
13;163.8888889
14;172.2222222
15;86.11111111
16;38.88888889
17;8.333333333
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;2.777777778
8;38.88888889
9;86.11111111
10;147.2222222
11;188.8888889
12;144.4444444
13;125
14;105.5555556
15;88.88888889
16;50
17;11.11111111
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;13.88888889
9;38.88888889
10;69.44444444
11;111.1111111
12;111.1111111
13;122.2222222
14;66.66666667
15;47.22222222
16;36.11111111
17;13.88888889
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;16.66666667
9;52.77777778
10;63.88888889
11;91.66666667
12;86.11111111
13;88.88888889
14;69.44444444
15;27.77777778
16;16.66666667
17;5.555555556
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;16.66666667
9;38.88888889
10;77.77777778
11;175
12;363.8888889
13;369.4444444
14;247.2222222
15;111.1111111
16;66.66666667
17;19.44444444
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;11.11111111
9;27.77777778
10;41.66666667
11;50
12;63.88888889
13;88.88888889
14;105.5555556
15;119.4444444
16;86.11111111
17;33.33333333
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;5.555555556
8;33.33333333
9;72.22222222
10;116.6666667
11;266.6666667
12;411.1111111
13;438.8888889
14;408.3333333
15;308.3333333
16;188.8888889
17;61.11111111
18;2.777777778
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;5.555555556
8;38.88888889
9;75
10;125
11;169.4444444
12;152.7777778
13;161.1111111
14;133.3333333
15;80.55555556
16;50
17;13.88888889
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;2.777777778
8;30.55555556
9;88.88888889
10;130.5555556
11;155.5555556
12;219.4444444
13;277.7777778
14;225
15;122.2222222
16;72.22222222
17;22.22222222
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;2.777777778
8;22.22222222
9;38.88888889
10;75
11;113.8888889
12;100
13;138.8888889
14;136.1111111
15;77.77777778
16;50
17;13.88888889
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;16.66666667
8;130.5555556
9;283.3333333
10;411.1111111
11;497.2222222
12;541.6666667
13;533.3333333
14;475
15;372.2222222
16;236.1111111
17;83.33333333
18;2.777777778
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;19.44444444
8;125
9;272.2222222
10;400
11;488.8888889
12;522.2222222
13;505.5555556
14;444.4444444
15;344.4444444
16;205.5555556
17;72.22222222
18;5.555555556
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;8.333333333
8;44.44444444
9;102.7777778
10;263.8888889
11;313.8888889
12;213.8888889
13;283.3333333
14;205.5555556
15;177.7777778
16;105.5555556
17;33.33333333
18;2.777777778
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;5.555555556
8;38.88888889
9;77.77777778
10;144.4444444
11;302.7777778
12;250
13;188.8888889
14;163.8888889
15;130.5555556
16;127.7777778
17;63.88888889
18;2.777777778
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;19.44444444
8;38.88888889
9;88.88888889
10;155.5555556
11;294.4444444
12;369.4444444
13;413.8888889
14;277.7777778
15;205.5555556
